Config,ID,Based Club ID,Based Club Name,FM ID,First Name,Second Name,Age,Current Ability,Potential Ability,Division ID,Division Name
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":575490,""r"":575490},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":432162,""r"":575490}]",575490,88385,Leeds United,29113879,Kalvin,Phillips,24,140,149,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88360,""r"":88360},{""a"":""Person"",""m"":""Person"",""k"":297921,""r"":297921},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":137402,""r"":297921}]",297921,88360,Derby County,5108390,Wayne,Rooney,34,137,180,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":825611,""r"":825611},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":714348,""r"":825611}]",825611,88385,Leeds United,67010608,Pablo,Hernández Domínguez,35,137,156,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":807698,""r"":807698},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":693690,""r"":807698}]",807698,88368,Fulham,62096282,Aleksandar,Mitrovic,25,136,150,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":271542,""r"":271542},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":111072,""r"":271542}]",271542,88385,Leeds United,1508841,Kiko,Casilla,33,135,160,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":757980,""r"":757980},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":639948,""r"":757980}]",757980,88368,Fulham,55027975,Ivan,Cavaleiro,26,134,138,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":574136,""r"":574136},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":430810,""r"":574136}]",574136,88327,Blackburn Rovers,29088322,Bradley,Dack,26,133,149,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":846213,""r"":846213},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":735975,""r"":846213}]",846213,88332,Brentford,68008625,Pontus,Jansson,29,133,139,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":757889,""r"":757889},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":639857,""r"":757889}]",757889,88385,Leeds United,55024865,Hélder,Costa,26,133,145,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":222684,""r"":222684},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":62305,""r"":222684}]",222684,88430,West Bromwich Albion,721326,Kamil,Grosicki,32,133,143,153406,Sky Bet Championship
